time,Normalized_Flux,error
2335.043297,0.998554564,0.000687161
2335.043529,0.9988293,0.00068639
2335.04376,0.998258742,0.000686258
2335.043992,0.99923443,0.000686837
2335.044223,0.999149984,0.000686975
2335.044455,0.997721122,0.000686385
2335.044686,0.997585275,0.000685917
2335.044918,0.998931369,0.000686966
2335.045149,0.999614173,0.000687191
2335.045381,0.996907926,0.000686604
2335.045612,0.998900109,0.000686837
2335.045844,0.99760122,0.000686294
2335.046075,0.998298919,0.000686718
2335.046307,0.998779472,0.000686799
2335.046538,0.998681914,0.000686687
2335.046769,0.997470932,0.000686191
2335.047001,0.997627025,0.000686594
2335.047232,0.997993656,0.000686665
2335.047464,0.998682333,0.000686782
2335.047695,0.998929271,0.000686844
2335.047927,0.999473605,0.000687148
2335.048158,0.99903176,0.000687148
2335.04839,0.998833287,0.000686555
2335.048621,0.999252158,0.000687177
2335.048853,0.998366895,0.00068651
2335.049084,0.998608063,0.000686545
2335.049316,0.998736253,0.000686951
2335.049547,0.999620467,0.000687137
2335.049779,0.997780391,0.000686284
2335.05001,0.998524457,0.000686902
2335.050242,0.998389344,0.000686624
2335.050473,0.998740868,0.000686512
2335.050705,0.997068845,0.000686405
2335.050936,0.998137685,0.000686436
2335.051168,0.998998926,0.000687053
2335.051399,0.99766951,0.000686259
2335.051631,0.999233171,0.000686804
2335.051862,0.999620677,0.000687015
2335.052094,0.997053844,0.000686382
2335.052325,0.998209123,0.000686992
2335.052557,0.997894104,0.000686688
2335.052788,0.997634683,0.000686045
2335.05302,0.99783473,0.00068595
2335.053251,0.998263357,0.000686375
2335.053483,0.99810139,0.000686546
2335.053714,0.999506124,0.000686874
2335.053946,0.999146942,0.000687133
2335.054177,0.998376651,0.000686434
2335.054409,0.997304454,0.000686588
2335.05464,0.998377175,0.000686709
2335.054872,0.999307021,0.000686233
2335.055103,0.997935121,0.000686722
2335.055334,0.998642156,0.000686437
2335.055566,0.99887252,0.00071332
2335.055797,0.997802945,0.000685988
2335.056029,0.99850033,0.000686672
2335.05626,0.998847343,0.00068673
2335.056492,0.999415909,0.000686785
2335.056723,0.997667308,0.00068649
2335.056955,0.998526765,0.000686203
2335.057186,0.998594007,0.000686963
2335.057418,0.99916509,0.000686511
2335.057649,0.997856235,0.000686018
2335.057881,0.99930314,0.000687048
2335.058112,0.99788288,0.000686502
2335.058344,0.996977791,0.000686209
2335.058575,0.998032469,0.000686777
2335.058807,0.998743281,0.000686318
2335.059038,0.997242876,0.000686174
2335.05927,0.998277729,0.000686826
2335.059501,0.998308255,0.000686387
2335.059733,0.999389369,0.000686843
2335.059964,0.998480503,0.000686857
2335.060196,0.998218145,0.000686218
2335.060427,0.998080514,0.000686803
2335.060659,0.998566417,0.000686411
2335.06089,0.998500854,0.000687058
2335.061122,0.999110436,0.000686707
2335.061353,0.998310038,0.000686567
2335.061585,0.998775801,0.000686591
2335.061816,0.999524692,0.000686497
2335.062048,0.997646327,0.000686422
2335.062279,0.998118174,0.000686184
2335.062511,0.997311482,0.000686395
2335.062742,0.997612129,0.000686433
2335.062974,0.999237786,0.000687064
2335.063205,0.998876191,0.000687175
2335.063437,0.998095515,0.000685996
2335.063668,0.999025466,0.000687268
2335.063899,0.999352653,0.000686428
2335.064131,0.998815139,0.000686875
2335.064362,0.998768038,0.000686671
2335.064594,0.998406443,0.000686682
2335.064825,0.996996253,0.000685953
2335.065057,0.998757443,0.000686507
2335.065288,0.999032389,0.000686545
2335.06552,0.998297765,0.000686265
2335.065751,0.998738875,0.000686579
2335.065983,0.998747267,0.000686828
2335.066214,0.998332278,0.000686264
2335.066446,1.009740725,0.000696575
2335.066677,0.998321892,0.000686364
2335.066909,0.998918676,0.000686782
2335.06714,0.99828738,0.000686422
2335.067372,0.998370671,0.000686021
2335.067603,0.99792505,0.000686553
2335.067835,0.99840403,0.000686615
2335.068066,0.998674571,0.000686713
2335.068298,0.998247412,0.000686687
2335.068529,0.999325064,0.00068637
2335.068761,0.997476597,0.000686079
2335.068992,0.997586848,0.000686488
2335.069224,0.999292335,0.000686243
2335.069455,0.998173981,0.000686462
2335.069687,0.997482157,0.000686333
2335.069918,0.999216911,0.000686781
2335.07015,0.998350635,0.000686225
2335.070381,0.997614332,0.000686138
2335.070613,0.998197269,0.000686504
2335.070844,0.998804963,0.000686885
2335.071076,1.000671369,0.00068712
2335.071307,0.998134958,0.000686485
2335.071539,0.997317986,0.000685364
2335.07177,0.998736672,0.000686483
2335.072002,0.997852878,0.000686344
2335.072233,0.996524931,0.000685817
2335.072464,0.999063335,0.000686712
2335.072696,0.998179226,0.000686452
2335.072927,0.998404869,0.000686216
2335.073159,0.99823409,0.000686492
2335.07339,0.998630093,0.000686572
2335.073622,0.997539643,0.00068614
2335.073853,0.998905039,0.000686434
2335.074085,0.998329445,0.000686645
2335.074316,0.998813041,0.000686895
2335.074548,0.99876038,0.00068663
2335.074779,0.997098847,0.000685546
2335.075011,0.99742016,0.000686045
2335.075242,0.999168342,0.000686403
2335.075474,0.997831688,0.000686022
2335.075705,0.997641712,0.000686059
2335.075937,0.997820464,0.000686527
2335.076168,0.999541371,0.000686987
2335.0764,0.997418376,0.000686376
2335.076631,0.998919516,0.000686586
2335.076863,0.998933363,0.000686966
2335.077094,0.9978405,0.000686444
2335.077326,0.999961501,0.000686636
2335.077557,1.000161129,0.000687175
2335.077789,0.999802261,0.000686977
2335.07802,0.999176734,0.000686375
2335.078252,1.000040597,0.000686738
2335.078483,0.999376466,0.000686508
2335.078715,0.997463694,0.000686158
2335.078946,1.000636332,0.000687276
2335.079178,0.999040467,0.000686746
2335.079409,1.000239385,0.000687232
2335.079641,0.998392176,0.000686094
2335.079872,0.999862055,0.00068602
2335.080104,0.998747372,0.000686575
2335.080335,0.999015291,0.000687042
2335.080567,0.999076868,0.000686271
2335.080798,0.99798925,0.000686589
2335.081029,0.999706486,0.000686873
2335.081261,0.997554643,0.000685851
2335.081492,0.998828566,0.000686328
2335.081724,0.998789438,0.000686525
2335.081955,0.998987492,0.000686514
2335.082187,0.998350635,0.000686169
2335.082418,1.000029477,0.000687358
2335.08265,0.999748551,0.000686816
2335.082881,0.997636676,0.00068593
2335.083113,0.997525376,0.000686439
2335.083344,0.998143035,0.000686366
2335.083576,0.997668252,0.000686135
2335.083807,0.998560018,0.000686525
2335.084039,0.998604916,0.000686245
2335.08427,0.998957909,0.000686529
2335.084502,0.997548979,0.000686256
