pl_name,pl_letter,tic,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,ra,dec,sy_dist,sy_disterr1,sy_disterr2
11 Com,b,72437047,0,323.21,0.06,-0.05,0,1.178,0,0,0,1.09,,,0,0.238,0.007,-0.007,0,,,,,2454519.4,1.5,-1.6,0,G8 III,4874,,,0,13.76,2.85,-2.45,0,185.1787793,17.7932516,93.1846,1.9238,-1.9238
11 UMi,b,230061010,0,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,1.09,,,0,0.08,0.03,-0.03,0,,,,,2452861.04,2.06,-2.06,0,K4 III,4213,46,-46,0,29.79,2.84,-2.84,0,229.2745954,71.8239428,125.321,1.9765,-1.9765
14 And,b,333225860,0,186.76,0.11,-0.12,0,0.775,0,0,0,1.16,,,0,0,,,0,,,,,2452853,2.1,-2.1,0,K0 III,4888,,,0,11.55,1.12,-0.51,0,352.82415,39.2358367,75.4392,0.714,-0.714
14 Her,b,219483057,0,1765.0389,1.67709,-1.87256,0,2.774,0.109,-0.12,0,1.12,,,0,0.373,0.008,-0.006,0,2456834.4,1.7,-1.9,0,2449614.563,5.447,-6.281,0,K0 V,5338,25,-25,0,0.93,0.01,-0.01,0,242.6021014,43.8163621,17.9323,0.0073,-0.0073
16 Cyg B,b,27533327,0,798.5,1,-1,0,1.66,0.03,-0.03,0,1.2,,,0,0.68,0.02,-0.02,0,2456937.32,0.38,-0.38,0,2450539.3,1.6,-1.6,0,G3 V,5750,8,-8,0,1.13,0.01,-0.01,0,295.4656422,50.5168243,21.1397,0.011,-0.0111
17 Sco,b,135596590,0,578.38,2.01,-2.09,0,1.45,0.02,-0.02,0,1.15,,,0,0.06,0.03,-0.02,0,,,,,2453294.41,174.23,-182.91,0,K3 III,4157,11,-10,0,25.92,0.78,-0.74,0,243.4620874,-11.8377905,124.953,2.59,-2.59
18 Del,b,354489950,0,982.85,1.06,-0.92,0,2.476,0.002,-0.002,0,1.12,,,0,0.024,0.007,-0.018,0,,,,,2454356.1,102.9,-118.2,0,G6 III,4980,,,0,8.8,0.61,-0.4,0,314.6078375,10.8391378,76.222,0.6217,-0.6217
1RXS J160929.1-210524,b,48964101,0,,,,,330,,,0,1.664,,,0,,,,,,,,,,,,,K7 V,4060,300,-200,0,1.31,0.18,-0.1,0,242.3762343,-21.0831403,139.135,1.332,-1.307
24 Boo,b,441712711,0,30.33,0,-0.01,0,0.194,0,0,0,1.24,,,0,0.032,0.039,-0.023,0,,,,,2455129.2,3,-15.4,0,G3 IV,4816,,,0,12.19,1.45,-1.28,0,217.1555242,49.8446488,95.9863,0.63685,-0.63685
24 Sex,b,1713457,0,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,1.19,,,0,0.09,0.14,-0.06,0,,,,,2454762,67.3,-172.3,0,K0 IV,5098,44,-44,0,4.9,0.08,-0.08,0,155.8684866,-0.9023998,72.0691,0.6854,-0.6728
